SourceChannelId,SourcePortId,CounterpartyChannelId,CounterpartyPortId,State
channel-15,icacontroller-cosmoshub-4.delegate,channel-528,icahost,STATE_CLOSED
channel-35,icacontroller-cosmoshub-4.delegate,channel-537,icahost,STATE_CLOSED
channel-36,icacontroller-cosmoshub-4.delegate,channel-539,icahost,STATE_CLOSED
channel-40,icacontroller-cosmoshub-4.delegate,channel-541,icahost,STATE_CLOSED
channel-41,icacontroller-cosmoshub-4.delegate,channel-544,icahost,STATE_CLOSED
channel-42,icacontroller-cosmoshub-4.delegate,channel-546,icahost,STATE_CLOSED
channel-46,icacontroller-cosmoshub-4.delegate,,icahost,STATE_INIT
channel-47,icacontroller-cosmoshub-4.delegate,channel-554,icahost,STATE_CLOSED
channel-48,icacontroller-cosmoshub-4.delegate,channel-558,icahost,STATE_CLOSED
channel-51,icacontroller-cosmoshub-4.delegate,channel-560,icahost,STATE_CLOSED
channel-58,icacontroller-cosmoshub-4.delegate,channel-564,icahost,STATE_CLOSED
channel-61,icacontroller-cosmoshub-4.delegate,channel-572,icahost,STATE_CLOSED
channel-84,icacontroller-cosmoshub-4.delegate,channel-588,icahost,STATE_OPEN
channel-12,icacontroller-cosmoshub-4.deposit,channel-529,icahost,STATE_OPEN
channel-14,icacontroller-cosmoshub-4.performance,channel-530,icahost,STATE_OPEN
channel-13,icacontroller-cosmoshub-4.withdrawal,channel-531,icahost,STATE_OPEN
channel-93,icacontroller-juno-1.delegate,channel-276,icahost,STATE_OPEN
channel-90,icacontroller-juno-1.deposit,channel-277,icahost,STATE_OPEN
channel-92,icacontroller-juno-1.performance,channel-275,icahost,STATE_OPEN
channel-91,icacontroller-juno-1.withdrawal,channel-274,icahost,STATE_OPEN
channel-28,icacontroller-osmosis-1.delegate,channel-702,icahost,STATE_CLOSED
channel-33,icacontroller-osmosis-1.delegate,channel-751,icahost,STATE_CLOSED
channel-34,icacontroller-osmosis-1.delegate,channel-754,icahost,STATE_CLOSED
channel-37,icacontroller-osmosis-1.delegate,channel-758,icahost,STATE_CLOSED
channel-39,icacontroller-osmosis-1.delegate,channel-760,icahost,STATE_CLOSED
channel-54,icacontroller-osmosis-1.delegate,channel-764,icahost,STATE_OPEN
channel-25,icacontroller-osmosis-1.deposit,channel-701,icahost,STATE_OPEN
channel-27,icacontroller-osmosis-1.performance,channel-700,icahost,STATE_OPEN
channel-26,icacontroller-osmosis-1.withdrawal,channel-698,icahost,STATE_OPEN
channel-21,icacontroller-regen-1.delegate,channel-66,icahost,STATE_CLOSED
channel-23,icacontroller-regen-1.delegate,channel-72,icahost,STATE_CLOSED
channel-29,icacontroller-regen-1.delegate,channel-76,icahost,STATE_CLOSED
channel-30,icacontroller-regen-1.delegate,channel-79,icahost,STATE_CLOSED
channel-31,icacontroller-regen-1.delegate,channel-80,icahost,STATE_CLOSED
channel-38,icacontroller-regen-1.delegate,channel-81,icahost,STATE_CLOSED
channel-43,icacontroller-regen-1.delegate,,icahost,STATE_INIT
channel-44,icacontroller-regen-1.delegate,channel-96,icahost,STATE_CLOSED
channel-45,icacontroller-regen-1.delegate,channel-99,icahost,STATE_CLOSED
channel-53,icacontroller-regen-1.delegate,channel-102,icahost,STATE_CLOSED
channel-55,icacontroller-regen-1.delegate,channel-103,icahost,STATE_CLOSED
channel-57,icacontroller-regen-1.delegate,channel-105,icahost,STATE_CLOSED
channel-59,icacontroller-regen-1.delegate,channel-108,icahost,STATE_CLOSED
channel-70,icacontroller-regen-1.delegate,channel-121,icahost,STATE_CLOSED
channel-83,icacontroller-regen-1.delegate,channel-141,icahost,STATE_OPEN
channel-18,icacontroller-regen-1.deposit,channel-65,icahost,STATE_OPEN
channel-20,icacontroller-regen-1.performance,channel-64,icahost,STATE_OPEN
channel-19,icacontroller-regen-1.withdrawal,channel-63,icahost,STATE_OPEN
channel-32,icacontroller-stargaze-1.delegate,channel-141,icahost,STATE_CLOSED
channel-50,icacontroller-stargaze-1.delegate,channel-146,icahost,STATE_CLOSED
channel-6,icacontroller-stargaze-1.delegate,channel-125,icahost,STATE_CLOSED
channel-85,icacontroller-stargaze-1.delegate,channel-174,icahost,STATE_CLOSED
channel-89,icacontroller-stargaze-1.delegate,channel-177,icahost,STATE_OPEN
channel-3,icacontroller-stargaze-1.deposit,channel-126,icahost,STATE_OPEN
channel-5,icacontroller-stargaze-1.performance,channel-130,icahost,STATE_OPEN
channel-4,icacontroller-stargaze-1.withdrawal,channel-129,icahost,STATE_OPEN
channel-0,transfer,channel-124,transfer,STATE_OPEN
channel-1,transfer,channel-467,transfer,STATE_OPEN
channel-10,transfer,channel-17,transfer,STATE_OPEN
channel-11,transfer,channel-57,transfer,STATE_OPEN
channel-16,transfer,channel-73,transfer,STATE_OPEN
channel-17,transfer,channel-62,transfer,STATE_OPEN
channel-2,transfer,channel-522,transfer,STATE_OPEN
channel-22,transfer,channel-215,transfer,STATE_OPEN
channel-24,transfer,channel-19,transfer,STATE_OPEN
channel-49,transfer,channel-53,transfer,STATE_OPEN
channel-52,transfer,channel-65,transfer,STATE_OPEN
channel-56,transfer,channel-128,transfer,STATE_OPEN
channel-60,transfer,channel-52,transfer,STATE_OPEN
channel-62,transfer,channel-47,transfer,STATE_OPEN
channel-63,transfer,channel-45,transfer,STATE_OPEN
channel-64,transfer,channel-94,transfer,STATE_OPEN
channel-65,transfer,channel-36,transfer,STATE_OPEN
channel-66,transfer,channel-31,transfer,STATE_OPEN
channel-67,transfer,channel-23,transfer,STATE_OPEN
channel-68,transfer,channel-54,transfer,STATE_OPEN
channel-69,transfer,channel-55,transfer,STATE_OPEN
channel-7,transfer,channel-37,transfer,STATE_OPEN
channel-71,transfer,channel-23,transfer,STATE_OPEN
channel-72,transfer,channel-262,transfer,STATE_OPEN
channel-73,transfer,channel-103,transfer,STATE_OPEN
channel-74,transfer,channel-27,transfer,STATE_OPEN
channel-75,transfer,channel-40,transfer,STATE_OPEN
channel-76,transfer,channel-47,transfer,STATE_OPEN
channel-77,transfer,,transfer,STATE_INIT
channel-78,transfer,channel-59,transfer,STATE_OPEN
channel-79,transfer,channel-80,transfer,STATE_OPEN
channel-8,transfer,channel-69,transfer,STATE_OPEN
channel-80,transfer,channel-46,transfer,STATE_OPEN
channel-81,transfer,channel-44,transfer,STATE_OPEN
channel-82,transfer,channel-163,transfer,STATE_OPEN
channel-86,transfer,channel-272,transfer,STATE_OPEN
channel-87,transfer,,transfer,STATE_INIT
channel-88,transfer,,transfer,STATE_INIT
channel-9,transfer,,transfer,STATE_INIT
